,DoorDash_PM
344,77.082
345,76.863
346,77.806
347,80.813
348,75.267
349,78.791
350,83.9
351,79.723
352,79.498
353,78.513
354,79.73
355,79.284
356,78.634
357,80.092
358,81.867
359,79.562
360,81.686
361,80.136
362,79.626
363,76.761
364,80.155
365,79.405
366,83.465
367,80.576
368,79.316
369,79.297
370,82.657
371,78.406
372,79.371
373,78.578
374,81.681
375,78.062
376,78.631
377,81.864
378,81.696
379,80.118
380,79.863
381,74.956
382,76.819
383,78.863
384,77.123
385,79.205
386,79.305
387,76.43
388,77.313
389,77.188
390,75.117
391,76.06
392,79.151
393,77.948
394,79.682
395,74.004
396,74.568
397,78.523
398,79.825
399,80.376
400,76.126
401,74.797
402,81.525
403,78.684
404,76.943
405,73.955
406,78.432
407,73.639
408,81.292
409,76.965
410,78.023
411,75.552
412,75.266
413,78.821
414,76.022
415,78.784
416,77.676
417,75.2
418,80.986
419,77.572
420,77.752
421,76.792
422,81.578
423,81.578
424,82.767
425,79.371
426,76.604
427,76.285
428,79.201
429,79.581
430,76.669
431,78.292
432,78.388
433,78.373
434,78.494
435,77.846
436,76.526
437,76.469
438,78.788
439,80.728
440,77.775
441,80.176
442,75.707
443,78.036
444,80.137
445,82.185
446,77.438
447,77.913
448,78.712
449,78.168
450,79.667
451,78.611
452,76.394
453,82.237
454,80.793
455,78.429
456,75.935
457,79.615
458,82.03
459,80.158
460,76.674
461,80.448
462,79.374
463,78.03
464,78.345
465,79.026
466,78.544
467,78.009
468,78.789
469,79.977
470,79.478
471,82.268
472,80.749
473,78.217
474,77.095
475,78.56
476,80.202
477,79.883
478,76.724
479,80.689
480,79.179
481,77.313
482,81.873
483,77.697
484,80.976
485,78.092
486,77.759
487,80.451
488,78.141
489,83.493
490,76.301
491,79.848
492,78.996
493,78.388
494,79.964
495,79.225
496,78.243
497,77.479
498,76.854
499,75.034
500,77.853
501,78.925
502,81.721
503,81.044
504,78.753
505,78.955
506,78.445
507,76.512
508,81.481
509,77.425
510,79.873
511,79.398
512,78.042
513,80.052
514,81.583
515,79.956
516,80.579
517,79.177
518,76.113
519,76.87
